gate_id,scope,status,owner_visible_reason,next_action,evidence
GITHUB_REMOTE,RELEASE,FIXED_WITH_LITE_SNAPSHOT,Remote origin is configured at https://github.com/ddotdanyaa/lifeos-final33.git,Keep lite snapshot release helper and omitted evidence manifest current,git remote -v;git ls-remote --heads origin owner-usable-nonstop-rescue
GITHUB_AUTH,RELEASE,FIXED_WITH_AUTH,GitHub CLI is authenticated as ddotdanyaa,Keep auth state documented and avoid fake DONE_ALL if token expires,gh auth status
GMAIL_EXTERNAL_SYNC,EXTERNAL,BLOCKED_EXTERNAL_PROVIDER_ONLY,Gmail sync requires OAuth credentials,Keep pasted mail path local and show provider gate,Providers workspace Gmail gate
EXTERNAL_CALENDAR_SYNC,EXTERNAL,BLOCKED_EXTERNAL_PROVIDER_ONLY,External calendar sync requires OAuth credentials,Keep local calendar blocks and show setup gate,Providers workspace calendar gate
OCR_ENGINE,EXTERNAL,BLOCKED_EXTERNAL_PROVIDER_ONLY,Automatic OCR requires OCR engine,Keep screenshot receipt manual extraction,Finance receipt workbench
STT_ENGINE,EXTERNAL,BLOCKED_EXTERNAL_PROVIDER_ONLY,Automatic STT requires browser/local/provider engine,Keep manual transcript workflow,Player transcript workbench
PDF_EPUB_PARSERS,EXTERNAL,BLOCKED_EXTERNAL_PROVIDER_ONLY,PDF/EPUB parsing requires parser package/engine,Keep TXT/MD reader and honest parser gates,Reader parser gate
P13_GRAPH_HARDENING,LOCAL,FIXED_WITH_CODE_AND_TEST,Graph now has readable edge reasons search match reasons connection summary and inspector proof,Keep J19 regression and final graph screenshot current,docs/qc/JOURNEY_J19_REPORT.md;output/playwright/final/final-big-graph.png
AGENTS_FLOWS_VISUAL_BUILDER,LOCAL,FIXED_WITH_CODE_AND_TEST,Agents and Flows now show safety boundary trigger-condition-action builder approval queue and dry-run history,Keep J17/J18 regression and final agents screenshot current,docs/qc/JOURNEY_J17_REPORT.md;docs/qc/JOURNEY_J18_REPORT.md;output/playwright/final/final-agents-flows.png
P17_LARGE_VAULT_EXACT_SCALE,LOCAL,FIXED_WITH_CODE_AND_TEST,Exact mixed large-vault benchmark now seeds prompt-scale data and captures final proof,Keep benchmark in final journey regression,docs/qc/JOURNEY_J23_REPORT.md;output/playwright/final/final-performance-large-vault.png
P24_CORRUPT_RECORD_FIXTURE,LOCAL,FIXED_WITH_CODE_AND_TEST,Corrupt-record fixture is now isolated and recovered through Data Control,Keep corrupt recovery in final journey regression,docs/qc/JOURNEY_J24_REPORT.md;output/playwright/final/final-recovery-flow.png
MARKET_R8000_ROW_CLOSURE,LOCAL,FIXED_WITH_CODE_AND_TEST,8,000 market rows now have row-level statuses with evidence and zero NOT_STARTED rows,Keep audit-market-ledger enforcing no NOT_STARTED R rows,docs/qc/MARKET_RESEARCH_LEDGER_STATUS.csv;npm run audit:market-ledger
MARKET_DEFERRED_LOCAL_BACKLOG,LOCAL,FIXED_WITH_CODE_AND_TEST,C25 market rows are closed by executable architecture contract state adapter registry event-bus receipts schema docs and Data Control proof,Keep audit:architecture market-owner and market-ledger passing,artifact-os-architecture.mjs;tools/audit-architecture-contract.mjs;docs/architecture/ARTIFACT_OS_ARCHITECTURE_CONTRACT.md;npm run audit:architecture;npm run audit:market-ledger
HUMAN_UX_F01_F25_REVALIDATION,LOCAL,FIXED_WITH_CODE_AND_TEST,Home and Calendar open UX gates were revalidated with code e2e audits and screenshots,Keep FINAL_UI_HUMAN_AUDIT as regression proof,docs/qc/FINAL_UI_HUMAN_AUDIT.md;output/playwright/final/final-home.png;output/playwright/final/final-calendar-week.png
HOME_DAILY_READY_9,LOCAL,FIXED_WITH_CODE_AND_TEST,Home first viewport is now four zones with hidden rail one next action and active artifact lane,Keep no-cockpit visual hierarchy and UX tests current,npm run e2e:ux;npm run audit:no-cockpit-first-screen;output/playwright/final/final-home.png
CALENDAR_MOBILE_MARKET_GRADE,LOCAL,FIXED_WITH_CODE_AND_TEST,Calendar has agenda strip overload warning compact empty days hidden empty hours and mobile-safe proof,Keep calendar and market-owner tests current,npm run e2e:calendar;npm run e2e:market-owner;output/playwright/final/final-calendar-week.png
HABITS_GOALS_WHEEL_MARKET_GRADE,LOCAL,FIXED_WITH_CODE_AND_TEST,Habits/Goals now has computed balance wheel domain rows weak-domain explanation and next action proof,Keep J09 owner/market screenshots in regression,docs/qc/JOURNEY_J09_REPORT.md;output/playwright/final/final-habits-goals-wheel.png;output/playwright/market-habits-goals-wheel.png
COMMAND_PALETTE_SAVED_SEARCH,LOCAL,FIXED_WITH_CODE_AND_TEST,Command palette keyboard shortcuts and saved searches are now persisted audited and graph-linked without adding Home cockpit clutter,Keep market-owner command palette proof and button audit current,app.js;styles.css;output/playwright/market-owner.spec.mjs;npm run e2e:market-owner;npm run audit:buttons
PWA_SERVICE_WORKER_INSTALLABILITY,LOCAL,FIXED_WITH_CODE_AND_TEST,PWA service worker manifest installability passport and honest prompt boundary are implemented with provider-run evidence,Keep manifest service-worker and provider e2e proof current,manifest.webmanifest;service-worker.js;app.js;output/playwright/market-owner.spec.mjs;npm run e2e:market-owner
ARCHITECTURE_CONTRACT_C25,LOCAL,FIXED_WITH_CODE_AND_TEST,Artifact OS module boundaries state adapters event bus code split and schema docs are executable and owner-visible in Data Control,Keep architecture audit and J20 Control proof current,artifact-os-architecture.mjs;app.js;docs/architecture/ARTIFACT_OS_ARCHITECTURE_CONTRACT.md;output/playwright/final-journeys.spec.mjs;npm run audit:architecture
