id,ledger,source_status,category_id,category,subdomain,artifact_focus,status,reason,evidence,package,acceptance_test
R0001,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0002,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0003,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0004,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0005,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0006,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0007,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,workspace,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0008,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,control,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0009,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,capture,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
R0010,R8000,OPEN_RESEARCHED,C01,First-screen IA / Daily command center,universal capture,projection,FIXED_WITH_CODE_AND_TEST,"Home/Daily OS now has a four-zone first viewport, one visible next action, no first-viewport right-rail dump, active artifact/proposal lane, graph/control routes and reload-safe Artifact flow. Row is closed by evidence, not by a static card or label.",app.js;styles.css;output/playwright/final/final-home.png;output/playwright/ux-home-calm.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,P02-P05-P18-home-calendar,"Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path."
