id,area,weakness,fix_contract,test_contract,prompt_status,resolution_status,dedupe_status,linked_w_id,package,evidence,next_action,commit
R0001,RISK-CAT-01 Source-of-truth / Git / execution control,активная папка снова не GitHub-backed,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,gh auth status logged in as ddotdanyaa; origin configured to https://github.com/ddotdanyaa/lifeos-final33.git; Product Brain GitHub Release Map records push retry.,Owner: run gh auth login or provide a GitHub remote URL; then run npm run release:push -- <repo-url>.,ab069cc
R0002,RISK-CAT-01 Source-of-truth / Git / execution control,изменения остаются локальными без commit/push,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,BLOCKED_EXTERNAL_NETWORK_RETRY_WITH_PROOF,direct_status,,P01,"Local commits exist, auth works, origin exists; git push reached object upload but remote returned HTTP 408.",Owner: run gh auth login or provide a GitHub remote URL; then run npm run release:push -- <repo-url>.,ab069cc
R0003,RISK-CAT-01 Source-of-truth / Git / execution control,Codex пишет отчет без diff/commit hash,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0004,RISK-CAT-01 Source-of-truth / Git / execution control,нет baseline snapshot перед крупным refactor,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0005,RISK-CAT-01 Source-of-truth / Git / execution control,нет ветки owner-rescue для изоляции изменений,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0006,RISK-CAT-01 Source-of-truth / Git / execution control,не фиксируется current localhost/port/build source,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0007,RISK-CAT-01 Source-of-truth / Git / execution control,старый stale preview принимается за новый UI,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0008,RISK-CAT-01 Source-of-truth / Git / execution control,отчеты и screenshots не связаны с commit,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0009,RISK-CAT-01 Source-of-truth / Git / execution control,нет repeatable setup command для нового агента,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0010,RISK-CAT-01 Source-of-truth / Git / execution control,скрытые node_modules/uploads/secrets попадают в git,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0011,RISK-CAT-01 Source-of-truth / Git / execution control,нет recovery branch перед mass cleanup,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0012,RISK-CAT-01 Source-of-truth / Git / execution control,нет ownership map по app.js/styles/index/docs/tests,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0013,RISK-CAT-01 Source-of-truth / Git / execution control,один монолитный app.js правится без package boundary,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0014,RISK-CAT-01 Source-of-truth / Git / execution control,ledger статусы обновляются руками без proof,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0015,RISK-CAT-01 Source-of-truth / Git / execution control,нет queue/resume capsule для следующего пакета,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0016,RISK-CAT-01 Source-of-truth / Git / execution control,Codex закрывает задачу после одного smoke pass,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0017,RISK-CAT-01 Source-of-truth / Git / execution control,нет enforced CONTINUATION_REQUIRED при open items,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0018,RISK-CAT-01 Source-of-truth / Git / execution control,нет чеклиста stop conditions для provider credentials,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0019,RISK-CAT-01 Source-of-truth / Git / execution control,не создана отдельная архитектурная карта current code,"зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,FIXED_WITH_CODE_AND_TEST,direct_status,,P01,git log -2 --oneline; docs/ops/OWNER_RESCUE_LIVE_STATE.md; docs/qc/OWNER_RESCUE_QUEUE.json; docs/qc/OWNER_RESCUE_1000_REPORT.md,No local code action remains for this risk; keep only provider/GitHub gates explicit.,ab069cc
R0020,RISK-CAT-01 Source-of-truth / Git / execution control,"GitHub remote есть, но push реально не проверен","зафиксировать GitHub-backed baseline, commit/push, state file, diff, screenshot evidence и continuation capsule",targeted unit/e2e + screenshot where visual + ledger evidence + git diff check,OPEN,BLOCKED_EXTERNAL_NETWORK_RETRY_WITH_PROOF,direct_status,,P01,GitHub remote exists and auth works; branch push is not verified because upload ended HTTP 408.,Owner: run gh auth login or provide a GitHub remote URL; then run npm run release:push -- <repo-url>.,ab069cc
