ID,Type,C section,Canonical section title,UX/build bucket,Workspace,Primary route,Build phase,Core objects,Implementation stance,Acceptance hint,Title,Essence excerpt,Canon line,Source path
C01-001,Функция,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",implement as product capability,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Замкнутый контур управления,"продукт ведёт человека не к красивому ответу, а к следующему проверяемому шагу и обратной сверке результата; при этом контур может работать и в режиме явной цели, и в режиме спокойного улучшения жизни без большой цели.",4248,docs/source_of_truth/LifeOS_canon_v33.md
C01-002,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Providers / Local AI / Media / Screen,Providers,/app/providers,PLAN_TBD_BY_ARTIFACT_AUDIT,"ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState",build as acceptance criterion,"Никаких fake cloud/model/screen/VPN success; только readiness, preview, explicit setup/approval.","Система траектории жизни, а не приложение одной категории","LifeOS должен держать путь жизни целиком, а не побеждать только в одной узкой категории.",4254,docs/source_of_truth/LifeOS_canon_v33.md
C01-003,Функция,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Capture / Inbox,Inbox,/app/inbox,PLAN_TBD_BY_ARTIFACT_AUDIT,"Source, SourcePacket, Attachment, ImportJob, CaptureDraft",implement as product capability,"Любой ввод сохраняется локально, получает provenance, receipt, Data Control item и graph edge.",Артефактное ядро,"любой входящий материал — текст, голос, фото, видео, письмо, скан, ссылка, снимок экрана и другой жизненный след — сразу является артефактом, а факт, гипотеза, заметка, задача, вывод, решение и результат — это разные роли одной базовой сущности.",4260,docs/source_of_truth/LifeOS_canon_v33.md
C01-004,Функция,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",implement as product capability,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Единый путь материала,"любой жизненный материал должен проходить одну общую систему превращений, а не распадаться по отдельным разделам; при этом путь не обязан быть жёстко линейным и не обязан всегда доходить до действия или результата.",4267,docs/source_of_truth/LifeOS_canon_v33.md
C01-005,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,"Разведение сырого, разобранного и рабочего слоя","система должна различать, где ещё сырой артефакт, где уже разбор, а где рабочая роль и рабочая форма.",4273,docs/source_of_truth/LifeOS_canon_v33.md
C01-006,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Ядро живёт даже без боковых доменов,"если убрать бытовые, финансовые, учебные и другие усилители, ядро всё равно должно оставаться полноценной системой траектории.",4279,docs/source_of_truth/LifeOS_canon_v33.md
C01-007,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,Одна система для личного и рабочего,личная и рабочая жизнь не должны существовать как два несвязанных продукта.,4285,docs/source_of_truth/LifeOS_canon_v33.md
C01-008,Качество,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",build as acceptance criterion,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,"Ядро определяется внутренней физикой, а не набором экранов","сущность LifeOS задаётся не списком поверхностей, а тем, как жизнь проходит через артефакты, связи, решение, действие и адаптацию.",4291,docs/source_of_truth/LifeOS_canon_v33.md
C01-009,Минус,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Planner / Tasks / Calendar / Focus,Plan,/app/plan,PLAN_TBD_BY_ARTIFACT_AUDIT,"Task, Project, CalendarBlock, PlannerBlock, FocusSession, WeekPlan",forbid / add regression guard,"Task можно создать из source/note/chat, поставить в календарный блок, увидеть связь и receipt.",Сведение LifeOS к обычному планеру,конструкция «заметки + задачи + календарь + чат» не равна ядру LifeOS.,4297,docs/source_of_truth/LifeOS_canon_v33.md
C01-010,Минус,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",forbid / add regression guard,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,"Сведение LifeOS к чату, заметочнику или второй памяти",красивые ответы или удобное хранение не заменяют систему действия и траектории.,4303,docs/source_of_truth/LifeOS_canon_v33.md
C01-011,Минус,C01,ЯДРО ТРАЕКТОРИИ И АРТЕФАКТОВ,Kernel / OS Spine,Core / invisible OS spine,/app/system,PLAN_TBD_BY_ARTIFACT_AUDIT,"LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge",forbid / add regression guard,Все сущности имеют общий id/state/source/receipt/graph refs; ни одна секция не хранит отдельные fake arrays.,"Подмена ядра боковыми доменами, коммерцией, красотой или ИИ","доменные слои, коммерческий контур, визуальные оболочки и ИИ-усиления могут усиливать продукт, но не должны становиться его основанием.",4309,docs/source_of_truth/LifeOS_canon_v33.md
