id,package,gate,status,evidence,next_action
N001,P01,fixture_count_120,FIXED_WITH_CODE_AND_TEST,output/playwright/fixtures/owner-input-fixtures.json;tools/audit-fixture-matrix.mjs,Keep fixture floor at 120 or higher.
N002,P01,required_fixture_classes,FIXED_WITH_CODE_AND_TEST,tools/audit-fixture-matrix.mjs,Keep required class list enforced.
N003,P01,release_evidence_uses_120,FIXED_WITH_CODE_AND_TEST,tools/audit-release-evidence.mjs;tools/audit-owner-rescue-final.mjs,Do not lower fixture threshold.
N004,P01,old_owner_queue_restored,FIXED_WITH_CODE_AND_TEST,docs/ops/NONSTOP_OWNER_RESCUE_QUEUE.json;npm run audit:release-evidence,Keep old queue closed unless a real regression opens it.
N005,P01,old_w_ledger_restored,FIXED_WITH_CODE_AND_TEST,docs/qc/NONSTOP_OWNER_WEAKNESS_LEDGER.csv;npm run audit:release-evidence,Keep generated W rows evidence-backed.
N006,P19,journey_reports_24,FIXED_WITH_CODE_AND_TEST,docs/qc/JOURNEY_J01_REPORT.md through JOURNEY_J24_REPORT.md;npm run audit:journeys,Keep reports generated by the executable journey replay.
N007,P19,journey_screenshots_24,FIXED_WITH_CODE_AND_TEST,output/playwright/journeys/j01-before.png through j24-after.png;npm run audit:journeys,Keep before/after screenshots current with journey replay.
N008,P19,final_screenshot_set,FIXED_WITH_CODE_AND_TEST,output/playwright/final/*.png;npm run audit:journeys,Keep final screenshots current with journey replay.
N009,P19,human_market_quality_audit,FIXED_WITH_CODE_AND_TEST,docs/qc/HUMAN_MARKET_QUALITY_AUDIT.md now records Home>=9 and all local workspace scores >=8 after code/test/screenshot proof,Keep human market audit under regression.
N010,P20,github_remote_auth,BLOCKED_EXTERNAL_CREDENTIAL_ONLY,git remote -v empty; gh auth status not logged in,Owner runs gh auth login and provides GitHub remote URL.
N011,P15,external_provider_credentials,BLOCKED_EXTERNAL_CREDENTIAL_ONLY,provider setup gates visible,Owner supplies Gmail/calendar/OCR/STT/parser credentials or local engines.
N012,MARKET,market_r8000_row_closure,FIXED_WITH_CODE_AND_TEST,docs/qc/MARKET_RESEARCH_LEDGER_STATUS.csv has 8000 R rows with zero NOT_STARTED and audit-market-ledger enforces closure,Keep row-level evidence and no NOT_STARTED regression.
N013,P13,graph_hardening_exact,FIXED_WITH_CODE_AND_TEST,docs/qc/JOURNEY_J19_REPORT.md;output/playwright/final/final-big-graph.png;npm run e2e:graph,Keep edge reasons search explanations inspector and large graph degradation in regression.
N014,P17,large_vault_exact_scale,FIXED_WITH_CODE_AND_TEST,docs/qc/JOURNEY_J23_REPORT.md;output/playwright/final/final-performance-large-vault.png;npm run audit:performance-final,Keep exact mixed benchmark and route/search/graph performance proof in regression.
N015,P02/P05/P18,home_daily_ready_9,FIXED_WITH_CODE_AND_TEST,output/playwright/final/final-home.png;npm run e2e:ux;npm run audit:no-cockpit-first-screen,Keep four-zone first viewport hidden rail one next action and quick ribbon under regression.
N016,P02/P05/P18,calendar_mobile_market_grade,FIXED_WITH_CODE_AND_TEST,output/playwright/final/final-calendar-week.png;output/playwright/ux-calendar.png;npm run e2e:calendar,Keep agenda strip overload warning compact empty days and hidden empty hours under regression.
N017,MARKET,market_deferred_local_backlog,FIXED_WITH_CODE_AND_TEST,0 R rows remain DEFERRED_WITH_REASON after P27 architecture contract closed C25,Keep audit:market-ledger enforcing zero NOT_STARTED and zero deferred local backlog.
N018,P23,domain_artifacts,FIXED_WITH_CODE_AND_TEST,app.js;styles.css;output/playwright/market-habits-goals-wheel.png;output/playwright/final/final-habits-goals-wheel.png;docs/qc/JOURNEY_J09_REPORT.md,Keep health/home/food/travel/relationship domain artifact projections in regression.
N019,P25,command_palette_saved_search,FIXED_WITH_CODE_AND_TEST,app.js;styles.css;output/playwright/market-owner.spec.mjs;npm run e2e:market-owner;npm run audit:buttons;npm run audit:market-ledger,Keep command palette keyboard shortcuts saved-search persistence Graph edge reasons and Data Control audit in regression.
N020,P26,pwa_service_worker_installability,FIXED_WITH_CODE_AND_TEST,manifest.webmanifest;service-worker.js;assets/lifeos-icon.svg;assets/lifeos-maskable.svg;app.js;index.html;server.mjs;output/playwright/market-owner.spec.mjs;npm run e2e:market-owner;npm run audit:market-ledger,Keep PWA manifest service-worker registration provider passport and honest install prompt boundary in regression.
N021,P27,architecture_contract_c25,FIXED_WITH_CODE_AND_TEST,artifact-os-architecture.mjs;app.js;docs/architecture/ARTIFACT_OS_ARCHITECTURE_CONTRACT.md;tools/audit-architecture-contract.mjs;output/playwright/market-owner.spec.mjs;npm run audit:architecture;npm run e2e:market-owner;npm run audit:market-ledger,Keep module boundaries state adapters event bus code split schema docs and Data Control architecture snapshot in regression.
