id,category_id,category,breakthrough_type,idea,why_it_is_breakthrough,implementation_gate,acceptance_test,status
B001,C01,First-screen IA / Daily command center,single_path,Один главный путь вместо панели: capture -> understand -> one recommended action -> details only on demand применительно к «First-screen IA / Daily command center / universal capture».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий universal capture -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B002,C01,First-screen IA / Daily command center,adaptive_home,"Домашний экран перестраивается под время суток, но не меняет информационную архитектуру применительно к «First-screen IA / Daily command center / today summary».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий today summary -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B003,C01,First-screen IA / Daily command center,artifact_timeline,"У каждого артефакта есть мини-таймлайн превращений: source, note, task, finance, graph, control применительно к «First-screen IA / Daily command center / next action».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий next action -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B004,C01,First-screen IA / Daily command center,why_now,Каждая рекомендация отвечает на вопрос «почему сейчас» и показывает источник применительно к «First-screen IA / Daily command center / active artifact».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий active artifact -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B005,C01,First-screen IA / Daily command center,one_click_commit,"Одна большая кнопка принимает все безопасные предложения, вторичные изменения спрятаны применительно к «First-screen IA / Daily command center / dashboard metrics».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий dashboard metrics -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B006,C01,First-screen IA / Daily command center,calm_mode,"Режим слабого дня: показывает один следующий шаг, деньги/сроки/здоровье без shame UI применительно к «First-screen IA / Daily command center / navigation rail».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий navigation rail -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B007,C01,First-screen IA / Daily command center,review_evening,"Вечерний разбор голосовых/скринов/заметок пакетно, не по одному мусорному pop-up применительно к «First-screen IA / Daily command center / workspace switching».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий workspace switching -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B008,C01,First-screen IA / Daily command center,local_ai_coach,"Локальная ИИ-панель работает как proposal coach, не как магический чат без структуры применительно к «First-screen IA / Daily command center / empty state».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий empty state -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B009,C01,First-screen IA / Daily command center,semantic_color,"Цветовая семантика: задача, деньги, привычка, цель, знание, медиа, контроль имеют устойчивые роли применительно к «First-screen IA / Daily command center / universal capture».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий universal capture -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B010,C01,First-screen IA / Daily command center,focus_routes,"Каждый workspace имеет один основной job-to-be-done, а не копирует общий cockpit применительно к «First-screen IA / Daily command center / today summary».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий today summary -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B011,C01,First-screen IA / Daily command center,context_graph,Правый граф всегда local graph вокруг выбранного артефакта; большой graph — отдельный режим применительно к «First-screen IA / Daily command center / next action».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий next action -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B012,C01,First-screen IA / Daily command center,proof_hidden,"Proof/control доступен одним кликом, но не занимает первый экран применительно к «First-screen IA / Daily command center / active artifact».","Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий active artifact -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
B013,C02,Visual hierarchy / Design system,single_path,Один главный путь вместо панели: capture -> understand -> one recommended action -> details only on demand применительно к «Visual hierarchy / Design system / buttons».,"Резко снижает ощущение нагромождения: пользователь видит не 20 панелей, а один понятный маршрут и один активный объект.","Внедрить только если есть repository object, graph/control edge, visual screenshot и owner-flow e2e; иначе оставить как idea backlog.","Playwright: clean start -> выполнить сценарий buttons -> проверить один главный CTA, отсутствие cockpit clutter, linked object и reload persistence.",BREAKTHROUGH_CANDIDATE
