id,tier,category_id,category,subdomain,risk_type,artifact_focus,market_reference,weakness,required_solution,acceptance_test,owner_visible_outcome,status
R0001,P0-critical,C01,First-screen IA / Daily command center,universal capture,overload,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: экран перегружен: пользователь видит слишком много равных элементов и не понимает первый шаг для слоя «входной артефакт».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0002,P0-critical,C01,First-screen IA / Daily command center,universal capture,overload,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: экран перегружен: пользователь видит слишком много равных элементов и не понимает первый шаг для слоя «проекция артефакта».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0003,P0-critical,C01,First-screen IA / Daily command center,universal capture,overload,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: экран перегружен: пользователь видит слишком много равных элементов и не понимает первый шаг для слоя «рабочий экран».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0004,P0-critical,C01,First-screen IA / Daily command center,universal capture,overload,control,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: экран перегружен: пользователь видит слишком много равных элементов и не понимает первый шаг для слоя «контроль/граф/аудит».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0005,P0-critical,C01,First-screen IA / Daily command center,universal capture,fake_static,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: элемент является статичной карточкой/лейблом, а не repository-backed объектом для слоя «входной артефакт».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0006,P0-critical,C01,First-screen IA / Daily command center,universal capture,fake_static,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: элемент является статичной карточкой/лейблом, а не repository-backed объектом для слоя «проекция артефакта».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0007,P0-critical,C01,First-screen IA / Daily command center,universal capture,fake_static,workspace,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: элемент является статичной карточкой/лейблом, а не repository-backed объектом для слоя «рабочий экран».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0008,P0-critical,C01,First-screen IA / Daily command center,universal capture,fake_static,control,NN/G progressive disclosure; LifeOS Artifact OS spec,"В зоне «First-screen IA / Daily command center / universal capture» риск: элемент является статичной карточкой/лейблом, а не repository-backed объектом для слоя «контроль/граф/аудит».","Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0009,P0-critical,C01,First-screen IA / Daily command center,universal capture,missing_route,capture,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет понятного перехода в рабочее пространство и обратно к активному артефакту для слоя «входной артефакт».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
R0010,P0-critical,C01,First-screen IA / Daily command center,universal capture,missing_route,projection,NN/G progressive disclosure; LifeOS Artifact OS spec,В зоне «First-screen IA / Daily command center / universal capture» риск: нет понятного перехода в рабочее пространство и обратно к активному артефакту для слоя «проекция артефакта».,"Сделать universal capture как часть Artifact OS: один явный пользовательский сценарий, repository-backed объект/проекцию, понятную русскую microcopy, визуальное различение статусов, связь с Graph/Data Control и скрытие вторичных деталей через progressive disclosure.","Добавить fixture/e2e: пользователь выполняет действие в «universal capture», reload сохраняет состояние, связанный workspace открывает тот же object id, Graph показывает reason edge, Data Control показывает change/export/recover path.","Пользователь понимает, что делать в «universal capture», и видит результат без чтения документации.",OPEN_RESEARCHED
