"ID","Type","Workspace","PrimaryRoute","ImplementationClass","ImplementationStatus","OwnerAction","RepositoryObjects","MutationContract","Projection","GraphBacklinkProof","ReceiptAuditProof","DataControlProof","PolicyBoundary","Tests","ManualAuditNotes","EvidencePath","LastVerifiedAt"
"C01-001","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-002","Качество","Providers","/app/providers","Guard-only","planned-guard","","ProviderBoundary, ModelProfile, MediaTranscriptJob, ScreenSession, DeviceSyncState","","","","","","","","","",""
"C01-003","Функция","Inbox","/app/inbox","P1-corridor","planned","","Source, SourcePacket, Attachment, ImportJob, CaptureDraft","","","","","","","","","",""
"C01-004","Функция","Core / invisible OS spine","/app/system","P0-kernel","planned","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-005","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-006","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-007","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-008","Качество","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-009","Минус","Plan","/app/plan","Guard-only","planned-guard","","Task, Project, CalendarBlock, PlannerBlock, FocusSession, WeekPlan","","","","","","","","","",""
"C01-010","Минус","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-011","Минус","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
"C01-012","Минус","Core / invisible OS spine","/app/system","Guard-only","planned-guard","","LifeObject, SourceRef, Receipt, AuditEvent, PolicyBoundary, GraphEdge","","","","","","","","","",""
