workspace,user_job,current_visual_state,current_data_model,current_actions,current_connected_artifacts,graph_evidence,data_control_evidence,tests,screenshots,ux_score,biggest_blocker,next_fix,proof_required
Home,Decide what to do now,4-zone capture-first command center,shared artifact repository,capture/analyze/quick task/open workspace,active artifact plus proposals,home graph links,control changes,last e2e journeys,output/playwright/final/final-home.png,9,external provider setup only,P_EXTERNAL_PROVIDER_SETUP,provider gate proof
Capture,Bring chaos into LifeOS,universal capture workbench,sources/proposals/files,drop/paste/file/audio/book/mail,source artifacts,source-to-proposal edges,audit source receipts,e2e:journeys J01-J04,output/playwright/final/final-capture-analysis.png,9,external OCR/STT/parser setup,P_EXTERNAL_PROVIDER_SETUP,provider fallback proof
Today,Execute today calmly,next/no-time/reminders/habits surface,tasks/reminders/habits,toggle/reschedule/open control,tasks plus habits,task-calendar-control edges,audit events,e2e:journeys J02/J08,output/playwright/final/final-today.png,9,provider setup only,P_EXTERNAL_PROVIDER_SETUP,screenshot
Calendar,Plan time,week planner with agenda and overload warning,tasks/planBlocks/reminders,add/edit/reschedule/time block,calendar projections,calendar edge reasons,control rows,e2e:journeys J02/J03/J06,output/playwright/final/final-calendar-week.png,9,external calendar sync setup,P_EXTERNAL_PROVIDER_SETUP,provider passport
Finance,Know money and act,dashboard metrics plus compact finance zones,accounts/transactions/budgets/subscriptions,expense/balance/budget/subscription/receipt,finance artifacts,finance-source-budget edges,control finance events,e2e:journeys J05-J07,output/playwright/final/final-finance.png,9,OCR engine external,P_EXTERNAL_PROVIDER_SETUP,manual receipt fallback
Habits / Goals,Track recurring behavior and direction,wheel/domain dashboard,habits/goals/lifeDomains,check/create/next action,domain artifacts,goal-habit-domain edges,control events,e2e:journeys J08-J09,output/playwright/final/final-habits-goals-wheel.png,9,provider setup only,P_EXTERNAL_PROVIDER_SETUP,screenshot
Library,Use second brain,knowledge workbench and Product Brain card,notes/knowledge/highlights,wikilinks/backlinks/search/open graph,Product Brain notes,knowledge/backlink edges,library audit,e2e:product-brain;J10-J11,output/playwright/product-brain-library.png,9,none,P_EXTERNAL_PROVIDER_SETUP,screenshot
Reader,Read and extract knowledge,reader surface with progress/highlights,readingItems/highlights/notes,import TXT/MD/highlight/create knowledge,source-backed reading artifacts,highlight knowledge edges,control evidence,e2e:journeys J12,output/playwright/final/final-reader.png,9,PDF/EPUB parser external,P_EXTERNAL_PROVIDER_SETUP,parser gate
Player,Listen transcript and extract,audio player/transcript workbench,sources/transcripts/checkpoints,import audio/manual transcript/proposals,audio artifacts,transcript edges,control evidence,e2e:journeys J13,output/playwright/final/final-player-transcript.png,9,STT engine external,P_EXTERNAL_PROVIDER_SETUP,STT gate
Chat,Ask active artifact and Product Brain,artifact-bound chat with local answers,chatThreads/messages/proposals,send/answer/create proposal/probe AI,active artifact context,chat-product edges,chat audit,e2e:product-brain;J15-J16,output/playwright/product-brain-chat.png,9,Ollama daemon external,P_EXTERNAL_PROVIDER_SETUP,Ollama gate
Agents / Flows,Dry-run automation safely,canvas-like trigger-condition-action board,agentRuns/flows/approvals,dry-run/approve/control,active artifact proposals,agent-flow edges,run history,e2e:journeys J17-J18,output/playwright/final/final-agents-flows.png,9,provider setup only,P_EXTERNAL_PROVIDER_SETUP,screenshot
Graph,Understand relationships,dark large graph with Product Brain filter,graphNodes/edges,filter/search/local/open/control,all artifacts,edge reasons and inspector,graph audit,e2e:graph;J19,output/playwright/product-brain-graph.png,9,none,P_EXTERNAL_PROVIDER_SETUP,screenshot
Control,Trust export recover privacy,Data Control with development state,control/audit/snapshots,export/archive/recover/rollback,selected artifacts,control graph links,audit trail,e2e:journeys J20/J24,output/playwright/product-brain-control.png,9,optional evidence archive,P_EXTERNAL_PROVIDER_SETUP,release state
Providers,Connect capabilities safely,provider passports and setup gates,providerStates/providerRuns,probe/revoke/setup/local fallback,provider artifacts,provider setup edges,control provider rows,e2e:ai-providers;J21,output/playwright/final/final-providers.png,9,owner credentials/local engines,P_EXTERNAL_PROVIDER_SETUP,provider setup
Mobile,Capture first on small screen,bottom-safe capture-first layout,same repository,capture/today/file/audio,same artifacts,mobile graph/control proof,mobile audit,e2e:journeys J22,output/playwright/final/final-mobile-capture.png,9,notification permission external,P_EXTERNAL_PROVIDER_SETUP,permission gate
Product Brain,Keep development memory inside LifeOS,Library Graph Control Chat runtime artifact,notes/systemType=product_brain,open graph/control/chat/ask,17 Product Brain notes,product-brain edge labels,product-brain control card,audit:product-brain; e2e:product-brain,output/playwright/product-brain-graph.png,9,provider setup remains NEXT,P_EXTERNAL_PROVIDER_SETUP,screenshot
GitHub,See code remotely,lite code snapshot is published,git remote origin + release helper,lite snapshot push,Release Map node,release-bug edge,GitHub status docs,release:push lite command,remote branch,9,omitted large evidence manifest,P_EXTERNAL_PROVIDER_SETUP,git ls-remote
