"GateID","Phase","Gate","RequiredEvidence","FailureMeans","RelatedPlanSection","GateStatus","EvidencePath","LastVerifiedAt","ManualAuditNotes"
"G00","0","Canon inventory exists","V33_CANON_ITEM_INVENTORY.csv has 1449 rows","Cannot prove full scope","2,22,23","","","",""
"G01","0","Implementation classes exist","V33_CANON_ITEM_IMPLEMENTATION_CLASSES.csv has 1449 rows","Cannot prioritize or block work safely","2,18,22","","","",""
"G02","0","Coverage ledger exists","V33_CANON_COVERAGE_LEDGER.csv has 1449 rows","Functions can be forgotten","2,22","","","",""
"G03","0","All workspaces registered","12 workspace names from CSV appear in plan","Workspace may be lost in audit","2,10,28","","","",""
"G04","0","Tickets are sequential","T00 through T45 present","Build route has holes","19","","","",""
"G05","1","Final scaffold chosen","Architecture decision and repo structure exist","Spike may become permanent architecture","5,18,26","","","",""
"G06","1","Verify command exists","npm run verify defined and documented","No single quality gate","20,33","","","",""
"G07","1","Design system exists","tokens, app shell, responsive rules and screenshots","UI becomes inconsistent or unusable","9,35","","","",""
"G08","2","Artifact schema exists","Artifact schema tests pass","No shared object identity","7","","","",""
"G09","2","Repository transaction exists","Repository integration tests pass","Workspaces can drift into separate stores","6,7,8","","","",""
"G10","2","Mutation contract exists","MutationResult tests pass","Actions may miss receipt/audit/control","8","","","",""
"G11","2","Receipt writer exists","Mutation test creates receipt","No owner-visible proof","8,12","","","",""
"G12","2","Audit writer exists","Mutation test creates audit event","No traceability","8,12","","","",""
"G13","2","Data Control writer exists","Mutation test creates data control item","No export/delete/rollback visibility","12","","","",""
"G14","2","Graph writer exists","Graph edge has source/reason/confidence","Graph becomes decorative","13","","","",""
"G15","2","Policy boundary exists","Blocked external/destructive action test passes","Unsafe actions can run","11,14,34","","","",""
"G16","3","Inbox capture works","Playwright capture/reload proof","No real source-to-artifact path","10.1,21,29","","","",""
"G17","3","Library note works","Playwright note persistence proof","Knowledge layer disconnected","10.2,29","","","",""
"G18","3","Wikilinks/backlinks work","Backlink and graph e2e proof","Graph/backlinks unreliable","13,29","","","",""
"G19","3","Task creation works","Task traces source/note/chat","Planning becomes separate app","10.3,29","","","",""
"G20","3","Today reads real projections","Today e2e proof","Today becomes fake dashboard","10.3,28","","","",""
"G21","3","Chat local flow works","Message persists and can convert by owner action","Hidden obligations or fake chat","10.4,29","","","",""
"G22","3","Agent dry-run works","Proposal has approval class and blocked actions","Agent autonomy unsafe","10.5,14,29","","","",""
"G23","3","Graph workspace works","Graph nodes/edges backed by repository facts","Graph is decoration","10.6,13","","","",""
"G24","3","Control workspace works","Receipts, audit, export/delete preview e2e","Owner cannot control data","10.7,12","","","",""
"G25","3","Full corridor passes","artifact-corridor.spec passes after reload","MVP is not real","21,29","","","",""
"G26","4","Inbox depth complete","URL/file/import/dedupe/interruption tests","Capture not realistic","10.1","","","",""
"G27","4","Library depth complete","versions, tags, exports, rollback tests","Library not production-grade","10.2","","","",""
"G28","4","Plan depth complete","reschedule/focus/recovery tests","Planner incomplete","10.3","","","",""
"G29","4","Chat depth complete","message-to-note/task/artifact/proposal tests","Communication disconnected","10.4","","","",""
"G30","4","Agents depth complete","approval matrix and queue tests","Workflow layer unsafe","14","","","",""
"G31","4","Graph depth complete","entity/correction/why-linked tests","Memory graph untrustworthy","13","","","",""
"G32","4","Control depth complete","privacy/export/delete/revoke/rollback tests","Trust layer incomplete","12","","","",""
"G33","5","Provider readiness honest","not-configured/setup/failed/revoked states tested","Fake provider success risk","11,34","","","",""
"G34","5","Credential boundary works","owner confirmation required","Credential use unsafe","34","","","",""
"G35","5","Media/screen boundary works","explicit OCR/STT/screen mode tests","Hidden capture risk","34","","","",""
"G36","6","Domains are artifact projections","domain object has source/control/graph","Domains become separate apps","15","","","",""
"G37","7","Sync is local-first safe","offline/conflict/privacy tests","Sync can corrupt/leak data","6,30","","","",""
"G38","8","Packs are controlled","install preview/permission/rollback tests","Marketplace can mutate silently","15,17","","","",""
"G39","9","No dead buttons","audit:ui passes","Owner clicks broken UI","32,33","","","",""
"G40","9","No fake panels","static proof/fake provider scans pass","Product lies about capability","4,33","","","",""
"G41","9","Data integrity passes","audit:integrity passes","Broken refs or orphan objects","30,33","","","",""
"G42","9","Accessibility passes","keyboard/focus/contrast evidence","UI excludes real use","35,36","","","",""
"G43","9","Performance budget passes","large fixture performance report","App does not scale locally","36","","","",""
"G44","10","Canon coverage clean","coverage report has no unexplained release gaps","Cannot prove full scope","22,23","","","",""
"G45","10","Final owner audit pack exists","reports, screenshots, commands, known limits","Owner cannot verify completion","23,24,38","","","",""
