"DesignGateID","Phase","Area","Gate","RequiredEvidence","FailsIf","RelatedMasterSection","RelatedTicket","DesignStatus","EvidencePath","LastVerifiedAt","ManualAuditNotes"
"D00","1","Design direction","Direction chosen","LifeOS direction recorded as quiet operational OS","Design drifts into generic dashboard","9,35","T05","","","",""
"D01","1","Artifact-first UX","Artifact is primary visual anchor","Selected artifact visible in shell","User cannot tell what object is active","4,9,29,35","T05","","","",""
"D02","1","App shell","Single shell defined","Left rail plus artifact spine plus projection plus evidence rail documented","Workspaces become separate apps","9,28,35","T05","","","",""
"D03","1","Local-first UI","UI reads local repository","Read path documented in design plan","UI depends on hidden per-page state","6,7,28,35","T06","","","",""
"D04","1","Mutation binding","Action path defined","Owner action to mutation to receipt path documented","Buttons only change UI state","8,32,35","T08","","","",""
"D05","1","Visual tokens","Token system exists","Typography color spacing radius shadow tokens defined in implementation","Inconsistent screens emerge","35","T05","","","",""
"D06","1","Typography","Operational type scale exists","Artifact title object id receipt rows and dense lists use defined styles","Text hierarchy feels random","35","T05","","","",""
"D07","1","Color","State palette exists","Captured projected linked blocked failed controlled states have tokens","Color is decorative or one-note","35","T05","","","",""
"D08","1","Spacing","Density rules exist","Rows rails buttons and panels use stable dimensions","Layout jumps or feels like card pile","35","T05","","","",""
"D09","1","Button contract","All button states defined","Idle focus disabled pending success failed blocked states implemented","Dead buttons ship","32,35","T08","","","",""
"D10","1","Accessibility baseline","Keyboard focus exists","Visible focus and semantic buttons in shell","Mouse-only product","36","T05","","","",""
"D11","1","Responsive baseline","Mobile shell defined","Top artifact bar workspace view evidence drawer and bottom switcher documented","Mobile becomes compressed desktop","35,36","T05","","","",""
"D12","2","Inbox","Capture surface exists","Text source creates Artifact SourceRef Receipt AuditEvent","Inbox is static input mock","10,29,35","T12","","","",""
"D13","2","Inbox","Source preview exists","Captured source visible with artifact id","Artifact lineage hidden","10,29,35","T12","","","",""
"D14","2","Inbox","Receipt visible after capture","Receipt id appears in evidence rail","Capture cannot be audited","12,23,35","T12","","","",""
"D15","2","Corridor","Artifact corridor exists","Source Artifact Note Task Chat Agent Graph Control steps visible","MVP is unrelated sections","29,35","T13","","","",""
"D16","2","Corridor","Step clicks are real","Each corridor step changes repository-backed projection","Timeline is decorative","29,32,35","T13","","","",""
"D17","2","Persistence","Reload keeps artifact","Playwright reload still shows artifact and receipt","Local-first promise is false","6,20,21","T13","","","",""
"D18","2","Evidence rail","Receipt rail exists","Latest receipt and audit count visible","User cannot verify action","12,23,35","T13","","","",""
"D19","2","Graph","First graph edge visible","Artifact source edge or projection edge exists","Graph is fake or empty","13,29,35","T14","","","",""
"D20","2","Control","Data Control panel exists","Export delete rollback states visible for selected artifact","Owner has no control path","12,23,35","T15","","","",""
"D21","3","Library","Note projection exists","Artifact creates or opens Note projection","Library is disconnected notes","10,29,35","T16","","","",""
"D22","3","Library","Backlinks visible","Wikilink or backlink list connected to artifact","Obsidian-like claim has no graph proof","13,29,35","T16","","","",""
"D23","3","Library","Note edit writes receipt","Edit updates Note and AuditEvent","Editor is local component state only","8,10,23","T16","","","",""
"D24","3","Today","Today projection exists","Artifact can be pinned into Today block","Today is generic dashboard","10,29,35","T17","","","",""
"D25","3","Today","Focus state exists","Start complete or defer produces receipt","Today controls are fake","8,10,32","T17","","","",""
"D26","3","Plan","Task projection exists","Artifact can become Task or PlanBlock","Plan has no action object","10,29,35","T18","","","",""
"D27","3","Plan","Planning graph edge exists","Task links back to artifact and note","Plan loses lineage","13,29,35","T18","","","",""
"D28","3","Chat","Artifact thread exists","Thread references selected artifact id","Chat is generic chatbot","10,29,35","T19","","","",""
"D29","3","Chat","Action extraction exists","Message can produce ActionCandidate","Chat cannot affect OS","14,29,35","T19","","","",""
"D30","3","Chat","Provider honesty visible","AI provider unavailable state is explicit unless configured","Fake AI label ships","11,18,34","T19","","","",""
"D31","3","Agents","Dry-run proposal exists","AgentRun and Proposal visible with affected objects","Agent card has no impact preview","14,29,35","T20","","","",""
"D32","3","Agents","Approval flow exists","Approve or reject writes receipt","Agent can mutate without approval","14,23,32","T20","","","",""
"D33","3","Agents","Policy boundary visible","Credential or irreversible action blocked until approved","Unsafe automation path","11,14,34","T20","","","",""
"D34","3","Graph","Typed nodes visible","Artifact Source Note Task Chat Agent Receipt nodes display types","Graph cannot explain itself","13,29,35","T21","","","",""
"D35","3","Graph","Edge inspection exists","Edge panel shows why who when and receipt","Graph is decorative","13,29,35","T21","","","",""
"D36","3","Control","Export preview exists","Export bundle preview lists artifact related objects","Export button lacks artifact scope","12,23,35","T22","","","",""
"D37","3","Control","Delete confirmation exists","Delete explains affected objects before mutation","Danger action unsafe","12,23,32","T22","","","",""
"D38","3","Control","Rollback preview exists","Rollback shows prior mutation and expected result","Rollback claim unproven","12,23,32","T22","","","",""
"D39","4","Providers","Provider state machine exists","Not configured configured ready blocked failed revoked states implemented","Provider UI lies","11,34,35","T23","","","",""
"D40","4","Providers","Revoke path visible","Configured provider has revoke control and receipt","User cannot control provider access","12,34,35","T23","","","",""
"D41","4","Offline","Offline state visible","Offline indicator shows local save confidence","Offline behavior hidden","6,20,31","T24","","","",""
"D42","4","Sync","Queue state visible","Queued failed dead-lettered states appear in Control","Sync failures disappear","6,20,31","T24","","","",""
"D43","4","Conflict","Conflict panel exists","Field conflict shows local remote resolution path","Conflicts silently overwrite data","6,30,31","T25","","","",""
"D44","4","Migration","Migration state exists","Schema version and non-destructive migration state visible","Local data upgrade is unsafe","30,31","T26","","","",""
"D45","4","Domains","Domain projection pattern exists","Domain object links to artifact source graph and control","Domains become separate apps","15,28,35","T27","","","",""
"D46","4","Packs","Pack install preview exists","Pack UI shows data access routes rollback","Packs are marketplace theater","15,17,35","T28","","","",""
"D47","5","Empty states","Useful empty states exist","Every workspace empty state has one real action","Empty sections act as proof","31,35","T43","","","",""
"D48","5","Error states","Recovery states exist","Failures show affected object local save state and recovery","Errors are hidden or vague","31,35","T43","","","",""
"D49","5","Copy","Operational copy pass done","Long explanatory junk removed and unavailable claims corrected","UI becomes instruction wall","9,35","T43","","","",""
"D50","5","Motion","Motion has cause","Motion only shows artifact stage receipt edge drawer changes","Animation is decoration","35","T43","","","",""
"D51","5","No card pile","Nested card audit passes","No page sections styled as nested cards","Interface feels generic and cluttered","9,35","T43","","","",""
"D52","5","No overflow","Desktop overflow check passes","Screenshot and Playwright inspection show no clipping","Text or controls overflow","21,35,36","T43","","","",""
"D53","5","No mobile overflow","Mobile overflow check passes","Mobile screenshot shows no horizontal scroll","Mobile unusable","21,35,36","T43","","","",""
"D54","5","Contrast","Contrast check passes","Normal text and controls pass visual audit","Low contrast blocks use","36","T43","","","",""
"D55","5","Keyboard","Keyboard path passes","Artifact corridor can be used by keyboard","Accessibility gate fails","36","T43","","","",""
"D56","5","Desktop screenshot","Desktop screenshot captured","output/playwright contains desktop screenshot","Design not owner-verifiable","21,35","T43","","","",""
"D57","5","Mobile screenshot","Mobile screenshot captured","output/playwright contains mobile screenshot","Mobile design not verified","21,35","T43","","","",""
"D58","5","Playwright corridor","Corridor browser flow passes","One artifact clicked through all required surfaces","MVP not actually connected","21,29,35","T44","","","",""
"D59","5","Receipt proof","Receipt proof appears in smoke","Playwright verifies receipt after mutation","Actions are not auditable","21,23","T44","","","",""
"D60","5","Graph proof","Graph proof appears in smoke","Playwright verifies node and edge for artifact","Backlink claim unproven","21,13","T44","","","",""
"D61","5","Data Control proof","Control proof appears in smoke","Playwright verifies export delete or rollback state","Owner control unproven","21,23","T44","","","",""
