"id","area","weakness","expected_behavior","current_status","resolution_status","evidence_file","test_name","screenshot","commit","notes"
"W001","GitHub/source-of-truth","GitHub/source-of-truth gap 1","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W002","GitHub/source-of-truth","GitHub/source-of-truth gap 2","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W003","GitHub/source-of-truth","GitHub/source-of-truth gap 3","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W004","GitHub/source-of-truth","GitHub/source-of-truth gap 4","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W005","GitHub/source-of-truth","GitHub/source-of-truth gap 5","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W006","GitHub/source-of-truth","GitHub/source-of-truth gap 6","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W007","GitHub/source-of-truth","GitHub/source-of-truth gap 7","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W008","GitHub/source-of-truth","GitHub/source-of-truth gap 8","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W009","GitHub/source-of-truth","GitHub/source-of-truth gap 9","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
"W010","GitHub/source-of-truth","GitHub/source-of-truth gap 10","Owner can complete the related LifeOS job through the shared Artifact repository without fake panels or disconnected state.","GitHub remote/auth missing; local baseline exists.","BLOCKED_OWNER_CREDENTIAL_WITH_EXACT_NEXT_ACTION","docs/ops/NONSTOP_OWNER_RESCUE_STATE.md","","","24f6671","GitHub push blocked because gh auth status reports no logged-in host. Exact next action: owner runs gh auth login or provides repo remote."
