UseCaseID,Area,OwnerNeed,CurrentEvidence,CurrentStatus,RequiredProductObjects,RequiredActions,RequiredSmoke,ProviderBoundary,PlanDecision
UC00,Localhost,"Owner can open the product locally","npm run verify; npm run e2e; http://localhost:4173 listens","working-now","Repository,Shell,AuditLog","open,reload","page loads editor and graph","none","keep as current foundation"
UC01,Obsidian notes,"Owner can write linked markdown notes","Playwright kb smoke creates notes and reloads","working-now","Note,Folder,Backlink,GhostNode,GraphNode,GraphEdge","create,edit,rename,delete,search","wikilink,ghost,cascade rename,persistence","none","expand without breaking current flow"
UC02,Obsidian graph,"Owner can inspect visual graph like Obsidian","output/playwright/kb-graph-canvas.png","working-now","GraphNode,GraphEdge,GraphViewState","pan,zoom,drag,select","canvas screenshot non-empty","none","add filters,edge inspector,large graph perf gates"
UC03,Current buttons,"All currently rendered buttons have handlers","data-action audit: missing=[]","working-now","UIAction,Mutation,AuditLog","new note,new folder,open note,select folder,ghost materialize,delete,export","action map has no missing handlers","none","run per-PR dead-button audit"
UC04,Files inbox,"Owner can drop/send files into LifeOS","Playwright verifies visible Inbox Command Center with universal intake, source.analysis, connected app network, File API import and browser drag/drop import; each source creates note/proposals/chat/graph links","working-now","SourcePacket,ArtifactAnalysis,Attachment,ImportJob,Artifact,Receipt,DataControl","drop file,select file,save attachment,open source,inspect analysis,route to app","file import persists after reload and analysis/app network stays visible","none for local files","browser drop/select works; OS/PWA share target remains later"
UC05,Books and PDFs,"Owner can use books/PDFs as working material","TXT/MD book import creates searchable source-backed note; PDF import creates source with visible pdf-parser-required boundary","partially-working","BookSource,PDFSource,Attachment,TextExtractionJob,Note,GraphEdge","import pdf,extract text,split chapters,link notes","book/PDF import produces searchable notes","local parser first; OCR provider gated","text-book pipeline and PDF boundary work; PDF extraction remains explicit gate"
UC06,EPUB/text books,"Owner can import EPUB/TXT/MD books","Playwright TXT book fixture creates source, note projection, search hit and graph node","partially-working","BookSource,Chapter,Highlight,Note,GraphEdge","import,chapterize,highlight,link","EPUB/TXT fixture creates chapter notes","none for local parsing","TXT/MD works; EPUB/chapter/highlight model still next"
UC07,Audio files,"Owner can add audio as source material","Playwright imports WAV fixture, stores audio source, shows transcript editor and graph source node","working-now","AudioSource,Attachment,TranscriptJob,TranscriptSegment,Note","import audio,store source,create transcript job","audio fixture creates local source and blocked/ready transcript state","STT engine required for automatic transcript","audio storage works; automatic transcription remains separate"
UC08,Audio transcription,"Owner can transcribe audio","Manual transcript entry creates a transcript note, parses wikilinks, searches and connects to graph","partially-working","TranscriptProvider,TranscriptJob,TranscriptSegment,Receipt","select engine,run transcript,edit transcript","transcript appears with source refs","local Whisper/Vosk/browser STT or external STT requires setup","manual transcript works; automatic STT must not be faked"
UC09,Ollama readiness,"Owner can connect local Ollama","Local AI panel has endpoint state and owner-confirmed Probe Ollama action; no hidden service calls in smoke","partially-working","LocalAIProvider,ModelProfile,ProviderHealth,PolicyBoundary","detect localhost,select model,test prompt,revoke","Ollama unavailable shows blocked; available model returns test result","requires owner confirmation before service probing","probe contract exists; model actions wait for real setup"
UC10,Ollama for notes,"Owner can summarize/classify notes with local model","not implemented","blocked-setup","AgentRun,ModelProfile,Proposal,Receipt,GraphEdge","summarize,tag,extract tasks,approve changes","model output becomes proposal not silent mutation","Ollama setup required","AI results must be proposals first"
UC11,Ollama for books,"Owner can summarize books and extract concepts","not implemented","blocked-setup","BookSource,Chapter,AgentRun,ConceptNode,Proposal","summarize chapter,extract concepts,link graph","book chapter to concept graph smoke","Ollama setup required","large context must chunk deterministically"
UC12,Ollama for transcripts,"Owner can turn transcripts into notes/tasks/goals","not implemented","blocked-setup","TranscriptSegment,AgentRun,Task,Goal,Proposal","summarize,extract decisions,extract actions","transcript to proposed task/goal smoke","STT plus Ollama setup required","two-stage pipeline: transcript first, AI second"
UC13,Today schedule,"Owner can maintain day plan","Today panel creates/toggles PlanBlock objects; Calendar panel shows 7-day local counts; Playwright verifies plan done state","working-now","TodayPage,PlanBlock,Task,CalendarPreview,Receipt","pin note,create block,start,complete,defer","today block persists and links to source","external calendar sync gated","local day plan and local calendar preview work; external sync gated"
UC14,Goals,"Owner can define and track goals","Goal objects are repository-backed, link to notes, connect to tasks and graph, and show progress","working-now","Goal,Milestone,Task,Review,GraphEdge","create goal,link notes/tasks,mark progress,review","goal progress updates from tasks","none local; sync optional","goal model shares repository with notes"
UC15,Checklists,"Owner can mark tasks/checklists","Task objects are repository-backed, toggle done/open, write audit and survive e2e flow","working-now","Task,ChecklistItem,Receipt,AuditEvent","create item,toggle,bulk complete","toggle writes receipt and persists","none","checklist behavior works through Task; nested checklist groups still later"
UC16,Calendar sync,"Owner can connect external calendar","Local 7-day calendar preview works from repository PlanBlock/Task objects; external calendar provider remains gated","partially-working","CalendarProvider,ProviderProfile,CalendarEvent,SyncQueue","connect,preview,write,disconnect","not-configured/ready/failed/revoked states tested","credentials and scopes require confirmation","local calendar preview works before external write"
UC17,File sharing/import from system,"Owner can send files into LifeOS","Browser drag/drop and file picker create SourcePacket artifacts with proposals; OS/PWA share target not registered","partially-working","ShareTarget,ImportJob,Attachment,SourcePacket","receive,queue,dedupe,review","shared file becomes source packet","browser/PWA capability; OS registration explicit","browser-level intake works; OS-level share target remains later"
UC18,Search at scale,"Owner can search fast in large vault","current search works on small vault","partially-working","SearchIndex,TokenIndex,Note,AttachmentText","type query,filter by source/type/tag","large fixture search under budget","none","needs indexed/search worker before claiming Obsidian-scale"
UC19,Large graph performance,"Owner can use graph with many notes","current graph works on small vault","partially-working","GraphIndex,GraphViewport,GraphWorker","pan,zoom,filter,select","large graph FPS/latency report","none","move layout to worker or cached positions if needed"
UC20,Offline confidence,"Owner can keep working offline","local-first storage works; no explicit offline banner","partially-working","OfflineState,SyncQueue,Receipt","edit offline,see local save state","offline simulation keeps notes editable","sync providers gated","add visible offline/local-only status"
UC21,Data control,"Owner can export/delete/recover data","Export bundle includes full local objects; note/source/task/goal/plan use soft archive and Control restore; network/storage/persisted status shown","partially-working","DataControlAction,ExportBundle,DeletePreview,RollbackSnapshot","export,delete preview,rollback,revoke","control smoke verifies object scope","provider revoke gated by provider setup","export and recovery work; full rollback snapshots and provider revoke remain next"
UC22,Receipts/audit,"Owner can see what changed","Audit log records note, source, transcript, task, goal, plan, proposal, chat, agent, flow, export and provider mutations","partially-working","Receipt,AuditEvent,MutationResult","inspect action history","mutation creates audit/receipt","none","audit is broad; dedicated receipt viewer still next"
UC23,Plugins/packs,"Owner can extend safely","not implemented and not needed for MVP","planned-later","PackManifest,PermissionScope,InstallPreview,Rollback","preview,install,revoke,rollback","pack cannot access data without scope","plugin install requires owner approval","do not scaffold until core contracts stable"
UC24,Mobile usability,"Owner can use on phone","Playwright mobile test verifies cockpit, ribbon, graph, control and no horizontal overflow; screenshot saved","working-now","MobileShell,BottomNav,EvidenceDrawer","open,edit,search,graph drawer","mobile Playwright screenshot and no overflow","none","mobile smoke is active; deeper touch gestures remain later"
UC25,Accessibility,"Owner can use keyboard/focus","focus styles and semantic controls exist; full audit pending","partially-working","FocusMap,KeyboardShortcut,AriaStatus","tab,activate,edit,save","keyboard Playwright path passes","none","add keyboard smoke before final acceptance"
